ID;Ano;UO (Cod);UG (Cod);UG Responsável (Cod);Programa (Cod);Programa;Ação (Cod);Ação;PO (Cod);PO;GND (Cod);GND;Elemento Despesa (Cod);Elemento Despesa;Sub-elemento Despesa (Cod);Sub-elemento Despesa;Ano Emissão Empenho;Empenho;PL;Dotação Inicial;Autorizado;Crédito Disponível;Empenhado;Liquidado;Pago;Despesa Executada;Contingenciamento;RP Proc Inscrito;RP Não-Proc Inscrito;RP Proc a Pagar;RP Não-Proc a Pagar;RP Proc Pago;RP Não-Proc Pago;RP Proc Cancelado;RP Não-Proc Cancelado
3006;2018;24205;120631;120015;2056;POLÍTICA ESPACIAL;20VB;PESQUISA E DESENVOLVIMENTO DE TECNOLOGIAS PARA O SETOR ESPAC;7;DESENVOLVIMENTO DE COMPETENCIAS E CAPITAL HUMANO PARA O SETOR ESPACIAL;4;INVESTIMENTOS;52;EQUIPAMENTOS E MATERIAL PERMANENTE;44905240;MAQUINAS E EQUIPAMENTOS AGRIC. E  RODOVIARIOS;;NÃO APLICÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3007;2018;24205;120093;120141;2056;POLÍTICA ESPACIAL;20VB;PESQUISA E DESENVOLVIMENTO DE TECNOLOGIAS PARA O SETOR ESPAC;4;PESQUISA E DESENVOLVIMENTO EM TECNOLOGIAS ASSOCIADAS A VEICULOS ESPACIAIS;3;OUTRAS DESPESAS CORRENTES;15;DIARIAS - MILITAR;33901516;DIARIAS NO EXTERIOR;;NÃO APLICÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3008;2018;24205;240106;NÃO INFORMADO;2056;POLÍTICA ESPACIAL;20VC;DESENVOLVIMENTO, LANCAMENTO E OPERACAO DE SATELITES, COM A I;6;RASTREIO E CONTROLE DE SATELITES;4;INVESTIMENTOS;0;[A DETALHAR];NÃO APLICÁVEL;NÃO APLICÁVEL;;NÃO APLICÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3009;2018;24205;203001;NÃO INFORMADO;2056;POLÍTICA ESPACIAL;7F40;IMPLANTACAO DO CENTRO ESPACIAL DE ALCANTARA - CEA;0;IMPLANTACAO DO CENTRO ESPACIAL DE ALCANTARA - CEA - DESPESAS DIVERSAS;4;INVESTIMENTOS;39;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;NÃO APLICÁVEL;NÃO APLICÁVEL;;NÃO APLICÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3010;2018;24205;203001;NÃO INFORMADO;2056;POLÍTICA ESPACIAL;154L;IMPLEMENTACAO DO PLANO DE ABSORCAO E TRANSFERENCIA DE TECNOL;0;IMPLEMENTACAO DO PLANO DE ABSORCAO E TRANSFERENCIA DE TECNOLOGIA NO AMBITO DO SATELITE GEOESTACIONARIO DE DEFESA E COMUNICACOES ESTRATEGICAS - SGDC;3;OUTRAS DESPESAS CORRENTES;0;[A DETALHAR];NÃO APLICÁVEL;NÃO APLICÁVEL;;NÃO APLICÁVEL;0;2030000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3011;2018;24205;203001;NÃO INFORMADO;2106;PROGRAMA DE GESTÃO E MANUTENÇÃO DO MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES;216H;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUB;0;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUBLICOS;3;OUTRAS DESPESAS CORRENTES;0;[A DETALHAR];NÃO APLICÁVEL;NÃO APLICÁVEL;;NÃO APLICÁVEL;0;99675,55;99675,55;99675,55;0;0;0;0;0;0;0;0;0;0;0;0;0
3012;2018;24205;120627;120013;2056;POLÍTICA ESPACIAL;7F40;IMPLANTACAO DO CENTRO ESPACIAL DE ALCANTARA - CEA;0;IMPLANTACAO DO CENTRO ESPACIAL DE ALCANTARA - CEA - DESPESAS DIVERSAS;4;INVESTIMENTOS;39;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;44903917;MANUTENCAO E CONSERV. DE EQUIPAMENTOS;;NÃO APLICÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3013;2018;24205;203001;NÃO INFORMADO;2106;PROGRAMA DE GESTÃO E MANUTENÇÃO DO MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES;2000;ADMINISTRACAO DA UNIDADE;2;OUTRAS DESPESAS ADMINISTRATIVAS;4;INVESTIMENTOS;36;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;44903646;AQUISICAO DE SOFTWARES;;NÃO APLICÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3014;2018;24205;443001;NÃO INFORMADO;2106;PROGRAMA DE GESTÃO E MANUTENÇÃO DO MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES;2000;ADMINISTRACAO DA UNIDADE;2;OUTRAS DESPESAS ADMINISTRATIVAS;3;OUTRAS DESPESAS CORRENTES;39;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;33903943;SERVICOS DE ENERGIA ELETRICA;;NÃO APLICÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3015;2018;24205;240106;240195;2056;POLÍTICA ESPACIAL;20VB;PESQUISA E DESENVOLVIMENTO DE TECNOLOGIAS PARA O SETOR ESPAC;9;PESQUISA E DESENVOLVIMENTO EM AERONOMIA, ASTROFISICA E GEOFISICA ESPACIAL;3;OUTRAS DESPESAS CORRENTES;14;DIÁRIAS - CIVIL;NÃO APLICÁVEL;NÃO APLICÁVEL;;NÃO APLICÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3016;2018;24205;240106;NÃO INFORMADO;2056;POLÍTICA ESPACIAL;20VC;DESENVOLVIMENTO, LANCAMENTO E OPERACAO DE SATELITES, COM A I;000B;DESENVOLVIMENTO E LANCAMENTO DO SATELITE SINO-BRASILEIRO CBERS-4A;4;INVESTIMENTOS;52;EQUIPAMENTOS E MATERIAL PERMANENTE;NÃO APLICÁVEL;NÃO APLICÁVEL;;NÃO APLICÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3017;2018;24205;154040;NÃO INFORMADO;2056;POLÍTICA ESPACIAL;20VB;PESQUISA E DESENVOLVIMENTO DE TECNOLOGIAS PARA O SETOR ESPAC;7;DESENVOLVIMENTO DE COMPETENCIAS E CAPITAL HUMANO PARA O SETOR ESPACIAL;3;OUTRAS DESPESAS CORRENTES;33;PASSAGENS E DESPESAS COM LOCOMOCAO;NÃO APLICÁVEL;NÃO APLICÁVEL;;NÃO APLICÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3018;2018;24205;203001;NÃO INFORMADO;2106;PROGRAMA DE GESTÃO E MANUTENÇÃO DO MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES;20TP;ATIVOS CIVIS DA UNIAO;0;ATIVOS CIVIS DA UNIAO;1;PESSOAL E ENCARGOS SOCIAIS;16;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;NÃO APLICÁVEL;NÃO APLICÁVEL;;NÃO APLICÁVEL;0;168904,52;168904,52;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3019;2018;24205;120016;120141;2056;POLÍTICA ESPACIAL;20V0;DESENVOLVIMENTO E LANCAMENTO DE FOGUETES SUBORBITAIS E DE VE;1;DESENVOLVIMENTO E LANCAMENTO DE FOGUETES SUBORBITAIS;3;OUTRAS DESPESAS CORRENTES;14;DIÁRIAS - CIVIL;NÃO APLICÁVEL;NÃO APLICÁVEL;;NÃO APLICÁVEL;0;0;0;4637,52;0;0;0;0;0;0;0;0;0;0;0;0;0
3020;2018;24205;203001;NÃO INFORMADO;2106;PROGRAMA DE GESTÃO E MANUTENÇÃO DO MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES;2000;ADMINISTRACAO DA UNIDADE;2;OUTRAS DESPESAS ADMINISTRATIVAS;3;OUTRAS DESPESAS CORRENTES;39;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;33903925;TAXA DE ADMINISTRACAO;;NÃO APLICÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
